Agent;Motor;Àncora;Conflicte;Aspecte
Un corredor d'informació;Vol fer caure una gran corporació amb;Un microxip;Però tots els seus secrets seran filtrats;Hedonista
Un vigilant;Vol obtenir les dades d'un microxip ocult dins de;Una furgoneta blindada;Però una corporació poc ètica guanyarà el monopoli;Corporatiu
Un tanca;Vol rastrejar el dispositiu de seguiment plantat a;Un clavegueram;Però seran esborrats de la xarxa per sempre;Suturat
Un drapaire;Vol entrar en una instal·lació governamental per a;Un dispositiu EMP;Però hauran de viure la resta de la seva vida fugint;Autoconscient
Un supersoldat;Vol encendre la metxa de la revolució amb el mite de;Una terminal;Però algú serà executat per això;Freelance
Un ciborg;Vol evitar que el govern descobreixi;Un laboratori d'operacions;Però algú innocent es veurà atrapat en el foc creuat;Idealista
Un empleat corporatiu;Vol curar el virus i la seva única pista és;Una exoplaneta;Però comprometran la ubicació de quelcom important;Modificat
Un adicte als estímuls;Vol vèncer el senyor de la guerra que controla;Una terminal corporativa;Però el seu assentament quedarà exposed a una radiació perillosa;Fora de control
Un androide;;Un banc de dades;;Hardwired
Un millorat;;Un magatzem;;Sintètic
Una xarxa neural;;Un estimulant;;Compromès
Un ionqui;;Un vestit de combat;;Propietari
Un caçador de recompenses;;Una contrasenya;;Steely
Un tirador;;Una sala de seguretat;;Precognitiu
Un mestre d'arts marcials;;Un implant;;Barat
Un cap corporatiu;;Una ravera;;Al·lucinant
Un contrabandista;;Una fossa comuna;;Inspirador
Un fugitiu;;Un secret governamental;;Populista
Un informant;;Una arma biològica;;Deshonrat
Un tirador de precisió;;Una revolta;;Improvisat
Un mercenari;;Un camp de detenció;;Misleading
Un guàrdia de presó;;Un vehicle de personal;;Downtrodden
Un lealista;;Un llistat;;Decomissionat
Un bomber;;Una granada;;Sediçós
Un activista;;Un lloc negre;;Oprimit
Un metge de camp;;Un dispositiu de seguiment;;Defiant
Un infiltrat;;Un règim;;Unbreakable
Un torturador;;Una arma no registrada;;Brutal
Un presoner polític;;Un silenciador;;Contestat
Un propagandista;;Un carreró;;Il·legal
Un botxí;;Un kit d'antidisturbis;;Indestructible
Una guerrilla;;Una seu;;Sediçós
