Agent;Motor;Àncora;Conflicte;Aspecte
Un bruixot;Vol empresonar un esperit que ha posseït;Un eix;Però un mal antic serà alliberat;Radiant
Un mag;Vol expulsar un esperit que ha posseït;Una destral;Però els déus els castigaran;Infernal
Un noble;Vol crear una obra mestra de/per/per a;Una glacera;Però hauran d'actuar en contra de la seva religió;Èlfic
Un hereu;Vol encantar;Un turó;Però provocarà un cataclisme;Thirsty
Un conqueridor;Vol resoldre el trencaclosques de;Un crani;Però seran exiliats per sempre;Brazen
Un governant;Vol navegar per un laberint al cor de;Un pitrer;Però significarà deixar les armes per sempre;Banyat
Un emissari;Vol trobar el camí a casa i la seva única pista és;Una corona;Però obrirà velles ferides;Cromàtic
Un ganivet de lloguer;Vol desactivar la trampa de;Una caverna;Però hauran de fer un sacrifici que ningú coneixerà mai;Trapat
Un murri;Vol evitar que una guerra comenci per;Un amuleto;Però el seu enemic més gran tornarà;Caòtic
Un pícar;Vol frustrar un esquema de/que implica;Una túnica;Però alguna cosa sagrada serà profanada;Obra mestra
Un tàctic;Vol reclamar l'artefacte ocult de;Una capa;Però mai tornaran a trobar la pau;Merfolk
Un jugador de daus;Vol dirigir una càrrega final i desesperada per;Una espasa;Però hauran de renunciar a una relíquia familiar important;Draconià
Un bàrbar;Vol obtenir un component de l'encanteri rar per a;Un arnès de malla;Però significarà que una ciutat és destruïda;Obsidiana
Un druida;Vol jurar la seva vida al servei de;Una tundra;Però patiran una ferida que no cura;Dextre
Un ferrer;Vol aturar un enemic perquè no arribi a;Un castell;Però significarà la fi de la meravella al món;Fadat
Un vident;Vol obrir una porta antiga que només es pot desbloquejar per;Una granja;Però mai tornaran a trobar la pau;Sunderat
Un comerciant;Vol pagar un deute antic amb;Un martell de guerra;Però la seva pàtria serà passada pel foc;Valent
Un criador de bèsties;Vol ser guarit per;Un setge;Però desencadenaran una plaga al món;Gnomish
Un be hemot;Vol guanyar un duel amb/en/a sobre de;Una arpa;Però hauran d'abandonar allò que adoren;Fort
Un familiar;Vol sabotejar un enemic amb;Una torre;Però portaran la foscor a aquells amb qui es creuin;Wise
Un drac;Vol mapejar (o traçar la història de);Una fortalesa;Però destruiran un vell truc;Diabòlic
Un guerrer;Vol acabar amb un exili per/de;Un escut;Però guanyaran un poder corruptor;Expansiu
Un soldat;Vol iniciar una guerra en/amb/sobre;Una màscara;Però perdran el darrer del seu poder;Cristal·lí
Un arquer;Vol reclamar l'artefacte ocult de;Una talla;Però el seu enemic més gran tornarà;Celestial
Un membre de la milícia;;Un mercat;;Tòxic
Un escolta;;Una moneda;;Dwarven
Un buscador de camins;;Un anell;;Tirànic
Un cercador;;Una poció;;Labyrinthine
Un explorador de masmorres;;Un mirall;;Poisoned
Un aventurer;;Una joia;;Lawful
Un caçador de tresors;;Una bossa;;Charismatic
Un barde;;Una taverna;;Bloody
Un monjo;;Un poble;;Thorned
Un paladí;;Un bosc;;Plucky
Un guardià;;Una nau;;Blasphemous
Un cavaller;;Un guant;;Necrotic
Un clergue;;Un pergamí;;Adamantine
Un sacerdot;;Un llibre;;Courageous
Un invocador;;Un bàcul;;True-hearted
Un elemental;;Un santuari;;Elemental
Una mimeta;;Un hort;;Gnomish
Un ghoul;;Un arbre;;Half-orcish
Un stalker;;Una arbreda;;Half-elven
Un habitant dels arbres;;Un arc;;Intel·ligent
Un port;;Un imperi;;Valent
Un seient;;Un encanteri;;Strong
Un niu;;Una llança;;Lawful
Un assentament;;Un tron;;Bilis
