Agent;Motor;Àncora;Conflicte;Aspecte
Un antic;Vol trencar una maledicció que implica;Una espelma;Però la porta entre els vius i els morts s'obrirà;Dement
Una entitat;Vol realitzar un ritual prohibit en/a;Un solstici;Però el record els perseguirà per sempre;Sàdic
Un boc expiatori;Vol investigar un culte basat en;Una daga;Però hauran de viure la resta de la seva vida amb falsos records;Ocult
Un dimoni;Vol ignorar els molts avisos ocults i desenterrar;Un pentacle;Però hauran d'alliberar quelcom que va ser tancat fa molt de temps;Musty
Un fantasma;Vol vèncer el destí amb;Un naufragi;Però no compliran els termes de la profecia;Slumbering
Un psíquic;Vol fundar una religió en/a;Un far;Però perdran els seus seguidors;Unhinged
Un apotecari;Vol frustrar el destí amb;Una mortalla;Però hauran de sacrificar algú o quelcom innocent;Prejudicat
Un liche;Vol desentranyar un secret ocult en;Un llogaret;Però perdran part de la seva humanitat;Toothy
Un culte;Vol investigar una sèrie de miracles a;Un celler;Però hauran de donar la font del seu poder;Eldritch
Un iniciat;Vol realitzar un ritual de despertar en;Un mausoleu;Però algú més rebrà el crèdit per la seva millor idea;Musty
Un esclau;Vol fer una crida a;Un grimori;Però els costarà la seva possessió més preuada;Abissal
Un vilatà;Vol desxifrar;Una incantació;Però la bogeria els consumirà;Profà
Un professor;Vol investigar;Una catacumba;Però el mal es propagarà;Unsleeping
Un llunàtic;Vol realitzar;Un nom veritable;Però el sacrifici serà en va;Unsleeping
Un demonòleg;Vol despertar;Un reliquiari;Però la foscor guanyarà;Unsleeping
Un investigador privat;Vol segellar;Un ritual de despertar;Però el preu serà massa alt;Unsleeping
Un déu-assassí;Vol alliberar la ira divina de;Un ordre sagrat;Però el món quedarà marcat;Llum-donador
Una musa;Vol ser més astut que un déu amb l'ajuda de;Un temple;Però les estrelles s'alinearan contra ells;Etern
Un oracle;Vol purificar;Una profecia;Però el destí no es pot canviar;Angèlic
Un missatger dels déus;Vol complir;Un conjunt de balances;Però el deute de sang es cobrarà;Omnipotent
Un entabanador;Vol frustrar;Un panteó;Però el caos regnarà;Omniscient
Un canviapells;Vol profanar;Un altar;Però la bèstia interior dominarà;Prophet
Un déu de l'inframon;Vol sacrificar;Una ofrena;Però les ànimes no descansaran;Astral
Una harpia;Vol invocar;Un ídol;Però el cel es tornarà negre;Soothsaying
Un tità;Vol guanyar una guerra experimentant amb;Un vèrtex;Però la memòria els perseguirà per sempre;Escollit
Un minotaure;Vol desxifrar plànols antics i necessita accés a;Un laberint;Però perdran part de la seva humanitat;Daurat
Un caçador de monstres;Vol suprimir l'invent perillós de;Una relíquia;Però algú més rebrà el crèdit;Gelós
Un gegant;Vol acabar un prototip revolucionari i necessita;Un artefacte;Però els costarà la seva possessió més preuada;Coneixement-atorgant
Una quimera;Vol restaurar una meravella mecànica a;Una joia;Però el motor fallarà en el pitjor moment;Apòcrif
Una bruixa;Vol sabotejar la producció de;Una herba sagrada;Però una explosió destruirà la ciutat;Provocador
Un esperit de la terra;Vol guanyar una cursa amb;Un tòtem;Però el seu rival farà trampes mortals;Elemental
Un devorador;Vol robar els plànols de;Un calze;Però quedarà atrapat en els engranatges;Fosc
Un aviador;Vol finançar;Un canó;Però els treballadors es revoltaran;Automàtic
Un pirata del cel;Vol descobrir;Una foneria;Però l'aire es tornarà tòxic;Ficcionat
Un cartògraf;Vol experimentar amb;Una cabina;Però crearà una tempesta elèctrica;Fickle
Un cercador de tresors;Vol polir;Una ciutat del cel;Però la màquina cobrarà vida pròpia;Mal funcionament
Un duelista;;Un cristall;;Volador
Un lluitador;;Una mina;;Enigmàtic
Un mecànic;;Un mecanisme;;Impulsat per vapor
Un rellotger;;Un laboratori;;Clockwork
Un carterista;;Un martell;;Humil
Un orfe;;Un tren;;Sentiendo
Un capità de dirigible;;Un trepant;;Prototip
Un rellotger;;Un cable;;De ferralla
Un inventor;;Una caixa forta;;Inventiu
Un fogoner;;Un far;;Hiper-carregat
Un miner;;Un cilindre de vapor;;Sabotejat
Un telegrafista;;Un laboratori;;Fantàstic
Un lladre de gats;;Una canonada;;Inestable
Un mecànic;;Un carreró;;Dormit
Un vigilant;;Una lupa;;Cromat
Un xantatjista;;Un bastó;;Industrial
Un professor;;Un rifle;;Analític
Un rodamon;;Un colom;;Escurçat
Un detectiu;;Un flascó;;Astut
Un baró;;Un gas;;Poderós
Un soldat;;Un port;;Llarg
Un missatger;;Un telescopi;;Segur
Un apotecari;;Una biblioteca;;Alquímic
Un químic;;Un tinter;;Volàtil
Un mariner;;Una brúixola;;Anotat
Un astrònom;;Un sextant;;Llunyà
Un acadèmic;;Un mapa;;Dens
Un arxiver;;Una ploma;;Tancat
