Agent;Motor;Àncora;Conflicte;Aspecte
Un antic;Vol trencar una maledicció que implica;Una espelma;Però la porta entre els vius i els morts s'obrirà;Dement
Una entitat;Vol realitzar un ritual prohibit en/a;Un solstici;Però el record els perseguirà per sempre;Sàdic
Un boc expiatori;Vol investigar un culte basat en;Una daga;Però hauran de viure la resta de la seva vida amb falsos records;Ocult
Un dimoni;Vol ignorar els molts avisos ocults i desenterrar;Un pentacle;Però hauran d'alliberar quelcom que va ser tancat fa molt de temps;Musty
Un fantasma;Vol vèncer el destí amb;Un naufragi;Però no compliran els termes de la profecia;Slumbering
Un psíquic;Vol fundar una religió en/a;Un far;Però perdran els seus seguidors;Unhinged
Un apotecari;Vol frustrar el destí amb;Una mortalla;Però hauran de sacrificar algú o quelcom innocent;Prejudicat
Un liche;Vol desentranyar un secret ocult en;Un llogaret;Però perdran part de la seva humanitat;Toothy
Un culte;Vol investigar una sèrie de miracles a;Un celler;Però hauran de donar la font del seu poder;Eldritch
Un iniciat;Vol realitzar un ritual de despertar en;Un mausoleu;Però algú més rebrà el crèdit per la seva millor idea;Musty
Un esclau;Vol fer una crida a;Un grimori;Però els costarà la seva possessió més preuada;Abissal
Un vilatà;Vol desxifrar;Una incantació;Però la bogeria els consumirà;Profà
Un professor;Vol investigar;Una catacumba;Però el mal es propagarà;Unsleeping
Un llunàtic;Vol realitzar;Un nom veritable;Però el sacrifici serà en va;Unsleeping
Un demonòleg;Vol despertar;Un reliquiari;Però la foscor guanyarà;Unsleeping
Un investigador privat;Vol segellar;Un ritual de despertar;Però el preu serà massa alt;Unsleeping
Un déu-assassí;Vol alliberar la ira divina de;Un ordre sagrat;Però el món quedarà marcat;Llum-donador
Una musa;Vol ser més astut que un déu amb l'ajuda de;Un temple;Però les estrelles s'alinearan contra ells;Etern
Un oracle;Vol purificar;Una profecia;Però el destí no es pot canviar;Angèlic
Un missatger dels déus;Vol complir;Un conjunt de balances;Però el deute de sang es cobrarà;Omnipotent
Un trickster;Vol frustrar;Un panteó;Però el caos regnarà;Omniscient
Un canviapells;Vol profanar;Un altar;Però la bèstia interior dominarà;Prophet
Un déu de l'inframon;Vol sacrificar;Una ofrena;Però les ànimes no descansaran;Astral
Una harpia;Vol invocar;Un ídol;Però el cel es tornarà negre;Soothsaying
Un tità;Vol governar;Un vèrtex;Però la terra s'esquinçarà;Escollit
Un minotaure;Vol destruir;Un laberint;Però el laberint creixerà;Daurat
Un caçador de monstres;Vol caçar;Una relíquia;Però el caçador serà la presa;Gelós
Un gegant;Vol trobar;Un artefacte;Però l'edat de l'home acabarà;Coneixement-atorgant
Una quimera;;Una joia;;Apòcrif
Una bruixa;;Una herba sagrada;;Provocador
Un esperit de la terra;;Un tòtem;;Elemental
Un devorador;;Un calze;;Fosc
