Agent;Motor;Àncora;Conflicte;Aspecte
Un aviador;Vol guanyar una guerra experimentant amb;Un canó;Però la memòria els perseguirà per sempre;Automàtic
Un pirata del cel;Vol desxifrar plànols antics i necessita accés a;Una foneria;Però perdran part de la seva humanitat;Ficcionat
Un cartògraf;Vol suprimir l'invent perillós de;Una cabina;Però algú més rebrà el crèdit per la seva millor idea;Fickle
Un cercador de tresors;Vol acabar un prototip revolucionari i necessita;Una ciutat del cel;Però els costarà la seva possessió més preuada;Mal funcionament
Un duelista;Vol restaurar una meravella mecànica a;Un cristall;Però el motor fallarà en el pitjor moment;Volador
Un lluitador;Vol sabotejar la producció de;Una mina;Però una explosió destruirà la ciutat;Enigmàtic
Un mecànic;Vol guanyar una cursa amb;Un mecanisme;Però el seu rival farà trampes mortals;Impulsat per vapor
Un rellotger;Vol robar els plànols de;Un laboratori;Però quedarà atrapat en els engranatges;Clockwork
Un carterista;Vol finançar;Una fàbrica;Però els treballadors es revoltaran;Humil
Un orfe;Vol descobrir;Una mina de carbó;Però l'aire es tornarà tòxic;Sentiendo
Un capità de dirigible;Vol experimentar amb;Una bobina;Però crearà una tempesta elèctrica;Prototip
Un rellotger;Vol polir;Un autòmat;Però la màquina cobrarà vida pròpia;De ferralla
Un inventor;;Un martell;;Inventiu
Un fogoner;;Un tren;;Hiper-carregat
Un miner;;Un trepant;;Sabotejat
Un telegrafista;;Un cable;;Fantàstic
Un lladre de gats;;Una caixa forta;;Inestable
Un mecànic;;Un far;;Dormit
Un vigilant;;Un cilindre de vapor;;Cromat
Un xantatjista;;Un laboratori;;Industrial
Un professor;;Una canonada;;Analític
Un rodamon;;Un carreró;;Escurçat
Un detectiu;;Una lupa;;Astut
Un baró;;Un bastó;;Poderós
Un soldat;;Un rifle;;Llarg
Un missatger;;Un colom;;Segur
Un apotecari;;Un flascó;;Alquímic
Un químic;;Un gas;;Volàtil
Un mariner;;Un port;;Anotat
Un astrònom;;Un telescopi;;Llunyà
Un acadèmic;;Una biblioteca;;Dens
Un arxiver;;Un tinter;;Tancat
