Agent;Motor;Àncora;Conflicte;Aspecte
Un extraterrestre;Vol desallotjar un polític amb;Una nebulosa;Però costarà la seva única connexió amb la humanitat;Dotat
Un telèpata;Vol enderrocar un govern amb;Un dispositiu d'ocultació;Però serà l'única cosa per la qual se'ls recordarà;Fase
Un sentinella;Vol descobrir un secret governamental que implica;Un escut d'energia;Però només unirà els seus enemics;Mercat negre
Un invasor;Vol organitzar l'alliberament de;Un conjunt de coordenades;Però es veuran tallats de la xarxa per sempre;Digital
Un hacker;Vol fer xantatge amb;Un motor;Però significarà confiar en algú que els va trair;Aquàtic
Un revolucionari;Vol dur a terme una invasió de/amb;Un algoritme;Però una persona innocent serà executada;Explosiu
Un xantatjista;Vol plantar una bomba en/a;Una font de combustible;Però un experiment mortal serà alliberat de la contenció;Xenofòbic
Un líder d'atracaments;Vol rastrejar;Un port espacial;Però el contracop recaurà sobre el seu millor amic;Desapareixent
Un robot;Vol dur a terme un atracament a/amb;Una metròpolis;Però una tecnologia molt utilitzada es tornarà inestable;Flotant
Una intel·ligència artificial;Vol explorar un nou planeta amb l'ajuda de;Un gratacels;Però es faran xantatge;Viral
Un guardaespatlles;Vol inventar (o descobrir);Un vehicle flotant;Però farà que la seva cronologia sigui perillosament instable;Telecinètic
Un superordinador;Vol actualitzar la tecnologia de;Un jetpack;Però provocarà una esquerda entre els seus aliats;Fosc
Un salvador;Vol guanyar una cursa que implica;Un dron;Però un criminal quedarà lliure;Turbo-carregat
Un enginyer;Vol comunicar-se amb una espècie alienígena mitjançant;Un blaster;Però es convertirà en un fugitiu;Governamental
Un miner d'asteroides;Vol restaurar el record perdut de;Una torre de control;Però significaria rendir-se en una baralla;Hiper-intel·ligent
Un traficant d'armes;Vol fabricar una arma a partir de;Una nau de transport;Però els farà perdre la persona més propera;Expansiu
Un navegant;Vol canviar el futur de/amb;Un planeta;Però significaria disturbis als carrers;Autodestructiu
Un astrofísic;Vol crear una distracció amb;Un sèrum;Però començarà una guerra;Temerari
Un tècnic;Vol obtenir el material rar que només poden aconseguir de;Un bioma;Però introduirà una tecnologia perillosa al món;Secret
Un científic de dades;Vol canviar el passat de/amb;Un organisme;Però mai podran viatjar fora del món;Nou
Un experiment escapat;Vol cometre un assassinat amb;Un reactor;Però hauran de viure la resta de la seva vida fent una feina que odien;Addictiu
Un fabricant de bombes;Vol fer un gran descobriment de recerca amb;Una peça de màquina;Però significarà renunciar a la possibilitat d'esmenar el seu major penediment;De propietat privada
Un pirocinètic;Vol realitzar una missió de sabotatge de/amb;Un compte enrere;Però el contracop recaurà sobre el seu amic més proper;Intel·ligent
Un empeltador de gens;Vol desarticular una xarxa de;Una arma d'energia;Però seran inclosos en una llista negra;Mòbil
Un streamer;;Una nau espacial;;De llarg abast
Un artista de performance;;Un vestit espacial;;De gamma alta
"Un ""influencer""";;Un punt de salt;;Sense llista
Un jugador;;Un làser;;Modest
Un presoner;;Una càpsula criogènica;;Blacklisted
Un subjecte de prova;;Un sistema estel·lar;;Avançat
Un programador;;Un exoesquelet;;Intreçable
Un telecinètic;;Una modificació corporal;;D'avantguarda
Un colon;;Una xarxa;;Ric
Un cadet;;Un servidor;;Radical
Un especialistes en armes;;Una planta d'energia;;Recondicionat
Un clubber;;Un disc dur;;Pobre
Un pilot;;Una màquina del temps;;No explorat
Un operador de comunicacions;;Una partícula;;Seguit
Un general;;Un satèl·lit;;Infectat
Un operatiu;;Un xifrat;;Sobrecarregat
Un crononauta;;Un producte químic;;Experimental
Un conseller delegat;;Un forat negre;;Gravetat zero
Un terrorista;;Un gegant gasós;;Gestant
Un traductor;;Un àtom;;Anòmal
Un bàrman;;Un far;;Despòtic
Un grafiter;;Un explosiu;;Manipulador del temps
Un químic;;Un compartiment ocult;;Alienígena
Un detectiu;;Una simulació;;Estrany
