Agent;Motor;Àncora;Conflicte;Aspecte
Un miner de dades;Vol desxifrar;Un xip;Però revelarà un secret que era millor deixar tancat;Digital
Un enginyer de programari;Vol depurar;Un servidor central;Però provocarà una fallada en cascada en tota la xarxa;Actualitzat
Un arquitecte de sistemes;Vol actualitzar;Una base de dades;Però quedarà atrapat en una simulació infinita;Encriptat
Un analista de seguretat;Vol protegir;Un tallafoc;Però serà acusat d'espionatge industrial;Autònom
Un tècnic de xarxa;Vol connectar;Un node;Però introduirà un virus sensible al sistema;Sincronitzat
Un administrador de sistemes;Vol optimitzar;Un algorisme;Però perdrà l'accés a la seva pròpia identitat;Optimitzat
Un desenvolupador d'IA;Vol entrenar;Una xarxa neuronal;Però la intel·ligència es tornarà contra el seu creador;Instable
Un expert en robòtica;Vol muntar;Un prototip;Però requerirà una peça que ja no es fabrica;Calibrat
Un pilot de drons;Vol hackejar;Un terminal;Però el rastre portarà directament a la seva família;Remot
Un operador de satèl·lits;Vol transmetre;Una senyal;Però la interferència canviarà el missatge original;Ampli
Un geòleg espacial;Vol escanejar;Un asteroide;Però despertarà una entitat tecnològica latent;Integrat
Un mecànic quàntic;Vol estabilitzar;Un nucli;Però crearà una paradoxa temporal irreparable;Quàntic
Un genetista;Vol seqüenciar;Una mostra;Però el resultat posarà en dubte l'origen de l'espècie;Bio-mecànic
Un biohacker;Vol implantar;Un xip;Però el seu cos començarà a rebutjar la tecnologia;Augmentat
Un químic molecular;Vol sintetitzar;Una fórmula;Però la substància es tornarà altament volàtil;Reactiu
Un nanotecnòleg;Vol programar;Un nanobot;Però perdran el control de l'eixam;Microscòpic
Un astronauta;Vol orbitar;Una estació;Però l'oxigen començarà a esgotar-se abans d'arribar;Pressuritzat
Un astrofísic;Vol observar;Un fenomen;Però el que veurà farà que perdi el seny;Observat
Un cosmòleg;Vol cartografiar;Un sector;Però el mapa revelarà una veritat aterridora;Vast
Un exobiòleg;Vol aïllar;Un virus;Però la cura serà pitjor que la malaltia;Infecciós
Un inventor;Vol patentar;Un invent;Però una megacorporació l'intentarà silenciar;Patentat
Un teòric de la conspiració;Vol filtrar;Un arxiu;Però la font del fitxer és un enemic del passat;Filtrat
Un agent de camp;Vol recuperar;Un dispositiu;Però el preu serà la vida del seu company;Recuperat
Un mercenari tecnològic;Vol destruir;Un mainframe;Però la destrucció causarà un buit de poder global;Blindat
Un cercador de dades;;Un satèl·lit;;Obsolet
Un furoner;;Una consola;;Vulnerable
Un criptògraf;;Un codi;;Xifrat
Un vigilant;;Una càmera;;Vigilat
Un explorador;;Un dron;;Sòlid
Un cartògraf;;Un mapa;;Precís
Un recuperador;;Una runa;;Antic
Un ferroveller;;Una ferralla;;Oxidat
Un contrabandista;;Una caixa;;Ilegal
Un missatger;;Un paquet;;Urgent
Un tècnic de so;;Un micròfon;;Audible
Un muntador;;Un circuit;;Complex
Un reparador;;Una eina;;Útil
Un venedor;;Un component;;Car
Un col·leccionista;;Una relíquia;;Rar
Un subhastador;;Un lot;;Licitat
Un xifrador;;Un missatge;;Secret
Un descodificador;;Un senyal;;Clar
Un emissor;;Una antena;;Potent
Un receptor;;Un plat;;Sintonitzat
Un visor;;Una pantalla;;Brillant
Un sensor;;Una lent;;Enfocat
Un processador;;Un nucli;;Ràpid
Un emmagatzemador;;Un disc;;Plenat
